Titre du livre,Thèmes,Auteur.ice,Année,Discipline,Pays
"Retour sur un attentat antiféministe - École Polytechnique de Montréal,6 décembre 1989","antiféminisme,misogynie,sexisme,violences","Dominique Payette,Francis Dupuis-Déri,Lyne Kurtzman,Mélissa Blais",2010,Feminist studies,"Canada,Québec"
Ces femmes qui ont bâti Montréal - La petite et la grande histoire des femmes qui ont marqué la vie de Montréal depuis 350 ans,"histoire des femmes,lutte pour les droits des femmes","Francine Descarries,Lyne Kurtzman,Maryse Darsigny,Évelyne Tardy",1994,Histoire,"Canada,Québec"
Marxism and the Oppression of Women / Le marxisme et l’oppression des femmes. Vers une théorie unitaire,"exploitation capitaliste,marxisme,oppressions,reproduction sociale,travail domestique,travail gratuit,travail reproductif",Lise Vogel,1938 - 2022,Sociologie,Etats-Unis
"Histoire de l’accouchement dans un Québec moderne","accouchement,corps,corps médical,grossesse,hôpital,lutte pour les droits des femmes,médicalisation,sages-femmes,violences gynécologiques,violences obstétricales",Andrée Rivard,2014,"Histoire,Santé","Canada,Québec"
"Soeurs volées - Enquête sur un féminicide au Canada","femmes amérindiennes,femmes autochtones,féminicides",Emmanuelle Walter,2017,Enquête,Canada
Révolution amoureuse - Pour arrêter de souffrir en amour,"amour.s,couple,couple homosexuel,couple hétérosexuel,domination masculine,masculinité.s",Coral Herrera Gomez,2021,Sociologie,Espagne
Une histoire des produits menstruels,"corps,corps féminin.s,culture menstruelle,cycles menstruels,menstruations,produits menstruels,règles,sociétés consuméristes",Jeanne Guien,2023,"Histoire,Philosophie,Sciences sociales",France
"Tenir sa langue - Le langage,lieu de lutte féministe","communication,langage,langue française",Julie Abbou,2022,"Linguistique,Sciences sociales",France
Dans l’épaisseur d’une ligne - Explorer les frontières du genre,"frontière,féminisme matérialiste,langue française,queer studies","Julie Abbou,Karim Hammou,Perrine Lachenal",2022,"Feminist studies,Gender studies,Sciences sociales,Sociologie",France
Kollontaï : Conférences sur la libération des femmes (1921),"avortement,congé parental,divorce,droits des femmes,droits reproductifs,lutte pour les droits des femmes",Alexandra Kollontaï,1978 - 2022,"Essai,Histoire",Russie
Teaching to transgress: Education as the Practice of Freedom,"afro-féminisme,féminisme intersectionnel,intersectionnalité,pédagogie,éducation",bell hooks,1994,"Feminist studies,Pédagogie",Etats-Unis
Le couple et l’argent - Pourquoi les hommes sont plus riches que les femmes,"argent,couple,couple hétérosexuel,famille.s,inégalités,inégalités salariales",Titiou Lecoq,2022,"Economie,Essai,Sciences sociales",France
Les patientes d'Hippocrate - Quand la médecine maltraite les femmes,"accouchement,autisme,endométriose,inconscient patriarcal,médecine,postpartum,santé,traumatisme","Eva Tapiero,Maud Le Rest",2022,"Enquête,Médecine,Santé",France
Amours silenciées - Repenser la révolution romantique depuis les marges,"amour.s,classe sociale,domination sociale,handicap,marge,race,rapport de domination,révolution romantique",Christelle Murhula,2022,Essai,France
"Restons vivantes - Femmes,écologie et lutte pour la survie","accès à la terre,altermondialisme,anti-capitalisme,développement,emprise coloniale,lutte,luttes paysannes,pensée décoloniale,écoféminisme,écologie",Vandana Shiva,2022,"Anthropologie,Sociologie",Inde
"Une histoire sociale de la prostitution - Montréal,1800-1850","corps,famille.s,pauvreté,prostitution,précarité,rapport de domination,sexualité.s,travailleur.euse.s du sexe",Mary Anne Poutanen,2015-2021,Histoire,"Canada,Québec"
Les visionnaires - 1933 - 1943,"Dieu,autoritarisme,pouvoir politique,rapport de domination,rapport hommes femmes,religion,régime totalitaire",Wolfram Eilenberger,2022,"Essai,Portraits",Allemagne
La revanche des autrices - Enquête sur l'invisibilisation des femmes en littérature,"art,autrice,invisibilisation,littérature",Julien Marsay,2022,"Essai,Littérature",France
Fragiles ou contagieuses - Le pouvoir médical et le corps des femmes,"appropriation des corps,corps,corps féminin.s,corps médical,pouvoir médical,rapport de domination","Barbara Ehrenreich,Deirdre English",1973 - 2016,"Essai,Santé",Etats-Unis
Vivre fluide - Quand les femmes s’émancipent de l’hétérosexualité,"LGBT,LGBTQIA+,bisexualité,couple,couple hétérosexuel,désir,hétéronormativité,hétérosexualité",Mathilde de Ramadier,2022,Essai,France
"Rencontres radicales - Pour des dialogues féministes décoloniaux","féminisme décolonial,féminisme radical,intersectionnalité,pensée décoloniale,rapport de domination,émancipation","Manal Altamimi,Nacira Guénif-Souilamas,Tal Dor",2018,"Anthropologie,Psychologie,Sociologie",France
Les subalternes peuvent-elles parler ? / Can the Subaltern Speak?,"féminisme décolonial,pensée décoloniale,post-colonialisme,rapport de domination",Gayatri Chakravorty Spivak,1985,"Essai,postcolonial studies,études postcoloniales",Inde
Naître mère - Essai philosophique d'une sage-femme,"accouchement,désir d'enfant,grossesse,mère.s,postpartum,procréation,sage-femme",Hélène de Gunzbourg,2014,"Philosophie,Santé",France
Féminicides - Une histoire mondiale,"continuum féminicidaire,féminicides,oppressions,violence,violences",Christelle Taraud,2022,Histoire,"France,International"
"Imparfaites. Représenter""la femme""dans l'art occidental : entre fantasmes et domination masculine","art,corps,corps féminin.s,domination masculine,histoire de l'art,male gaze",Ludivine Gaillard,2022,Histoire de l'art,France
"La prostitution coloniale. Algérie,Tunisie,Maroc (1830-1962)","emprise coloniale,prostitution,prostitution coloniale",Christelle Taraud,2003,Histoire,France
"« Amour interdit ». Prostitution,marginalité et colonialisme. Maghreb (1830-1962)","colonialisme,prostitution,prostitution coloniale,prostituées,sexualité.s,travailleur.euse.s du sexe",Christelle Taraud,2012,Histoire,France
Mauresques. Femmes orientales dans la photographie coloniale (1860-1910),"corps,corps féminin.s,emprise coloniale,photographie",Christelle Taraud,2003,Histoire,France
Des femmes qui ont inventé notre temps,"empouvoirement,empowerment,injonctions,égalité des sexes,émancipation",Dominique Labarrière,2022,"Histoire,Portraits",France
Sex and World Peace,"conflits armés,gouvernance mondiale,guerre,sécurité","Chad F. Emmett,Mary Caprioli,Valerie M. Hudson",2012,"Relations Internationales,Sciences politiques",Etats-Unis
Fruits de la colère : Embras(s)er nos débordements,"colère,droit à la colère,violence,violences","Daria Marx,Douce Dibondo,Fatima Ouassak,Lucile Bellan,Pauline Harmange",2022,Essai,France
Histoire de la pilule - Libération ou enfermement,"appropriation des corps,arrêt de la pilule,charge contraceptive,contraception,corps,pilule","Myriam Chopin,Olivier Faron",2022,Histoire,France
"Une route à soi - Cyclistes,automobilistes et aviatrices (1890 - 1949)","fugitive,machine,maternité.s,modernité,transport,émancipation",Catherine Blais,2020,Sciences sociales,"Canada,Québec"
Actions scandaleuses et rébellions quotidiennes,"activisme,droits civiques,lutte pour les droits des femmes,militantisme,égalité,égalité des genres,égalité des sexes",Gloria Steinem,2022,"Autobiographie,Essai",Etats-Unis
Libérations sexuelles. Une histoire des pensées féministes et queers sur la sexualité,"LGBT,LGBTQIA+,maternité.s,queer,queer studies,sexualité féminine,sexualité.s",Cornelia Möser,2022,"Feminist studies,Queer studies",France
"Avec,sans ou contre. Critiques queer/féministes de l’État","Etat,lutte pour les droits LGBT,lutte pour les droits des femmes,pouvoir,pouvoir politique,queer studies","Cornelia Möser,Marion Tillous",2020,"Essai,Sciences sociales",France
Féminismes en traductions - théories voyageuses et traductions culturelles,"culture,traductions",Cornelia Möser,2013,"Sciences sociales,Sociologie",France
Les courants philosophiques dans le mouvement féministe,"féminisme anarchiste,féminisme libéral,féminisme marxiste,féminisme radical,féminisme socialiste,marxisme,écoféminisme",Anuradha Ghandy,2020,Essai,Inde
La culture de l’inceste,"inceste,viol,violences,violences familiales,violences sexuelles","Dorothée Dussy,Iris Brey,Juliet Drouar,Ovidie,Sokhna Fall,Tal Piterbraut-Merx,Wendy Delorme",2022,"Essai,Sciences sociales",France
Paradoxical Right-Wing Sexual Politics in Europe,"homophobie,néo-conservateur,néo-libéralisme,pouvoir politique,violence politique,visibilité LGBT,église catholique","Cornelia Möser,Jennifer Ramme,Judit Takács",2022,Sociologie,"Allemagne,France,Hongrie,Pologne"
Libérations sexuelles - Une histoire des pensées féministes et queers sur la sexualité,"LGBT,LGBTQIA+,consentement,corps,désir,histoire des féminismes,lesbianisme,lesbianisme politique,plaisir,queer,queer studies,sexualité.s,violences sexuelles",Cornelia Möser,2022,"Philosophie,Sciences sociales,Sociologie",France
La condition de la femme dans l’islam,"condition des femmes,féminismes islamiques,islam",Mansour Fahmy,1913,"Histoire,Psychologie,Sociologie",Egypte
Futures - Comment le féminisme peut sauver le monde,"amour.s,famille.s,parentalité.s,sexualité.s,écoféminisme,écologie",Lauren Bastide,2022,Essai,France
Wittig,"LGBT,lesbianisme,lesbianisme politique,lesbienne",Emilie Notéris,2022,"Biographie,Essai",France
Manifeste Xénoféministe - Une politique de l’aliénation,"aliénation féminine,anti-essentialisme,essentialisme,famille.s,queer,xénoféminisme,écoféminisme",Laboria Cuboniks,2019,Essai,Monde
"Précis de culture féministe pour briller en société patriarcale","corps,couple hétérosexuel,histoire des femmes,histoire des féminismes,inconscient patriarcal,mariage,masculinité.s,patriarcat,sexualité féminine,virginité",Sabrina Erin Gin,2022,"Guide,Portraits",France
Ces mères qui ne savent pas aimer - apprendre à dépasser le traumatisme,"maternité.s,parent toxique,santé mentale,traumatisme,violences familiales,violences psychologiques",Susan Forward,2019,"Guide,Psychologie",Etats-Unis
Quand le prince n'est plus charmant... : Comment sortir de l'enfer à deux,"couple,couple hétérosexuel","Joan Torres,Susan Forward",2005,Psychologie,Etats-Unis
Un silence de mortes - La violence masculine occultée,"domination masculine,patriarcat,violences,violences conjugales,violences sexuelles",Patrizia Romito,2006,Sciences sociales,Italie
"SPM ta mère ! Informons,reconnaissons et déculpabilisons les synptômes du syndrome prémenstruel !","cycles,cycles menstruels,menstruations,règles,spm,syndrome prémenstruel",Leslye Granaud,2022,Guide,France
Simone de Beauvoir et les femmes aujourd’hui,"condition des femmes,droits des femmes,lutte pour les droits des femmes,émancipation",Claudine Monteil,2011,"Essai,Portraits",France
Et maintenant le pouvoir - Un horizon politique afroféministe,"afro-féminisme,intersectionnalité,misogynoir,pensée africaine,politique,pouvoir,pouvoir politique",Fania Noël-Thomassaint,2022,"African studies,Feminist studies",France
La marche des citoyennes - Le droit de vote des femmes en France de 1870-1944,"droit de vote,droits des femmes,lutte pour les droits des femmes",Anne-Sarah Moalic,2021,Histoire,France
"La naissance du premier enfant,étude psycho-sociale de l’expérience de la maternité et de la dépression post partum","maternité.s,parentalité.s,postpartum,santé mentale",Patrizia Romito,1990,"Psychologie,Sciences sociales",Italie
"The Social Construction of Women Refugees,a Journey of Discontinuities and Continuities","immigration,migrant.e.s,migrations,réfugiées",Helene Moussa,1992,Feminist studies,Canada
"De""l’ennemi principal""aux principaux ennemis : position vécue,subjectivité et conscience masculines de domination","construction des masculinités,domination masculine,féminisme matérialiste,masculinité.s,socialisation masculine",Léo Thiers-Vidal,2007,Sociologie,Belgique
On ne naît pas mec - Petit traité féministe sur les masculinités,"construction des masculinités,fabrication du masculin,homosexualité,masculinité toxique,masculinité.s,parentalité.s,socialisation masculine",Daisy Letourneur,2022,Essai,France
Corset de papier - Une histoire de la presse féminine,"concept du féminin,injonctions,lutte pour les droits des femmes,médias,presse,presse féminine,émancipation,éternel féminin",Lucie Barette,2022,"Enquête,Histoire,Sciences sociales",France
"La fabrique de la ménopause : genre,apprentissage et trajectoires","ménopause,vieillesse,vieillir",Cécile Charlap,2015,Sociologie,France
"La révolution,le féminisme,l’amour et la liberté","amour.s,communisme,féminisme révolutionnaire,prostitution",Alexandra Kollontaï,2017,Essai,Russie
Dieux et déesses de l'Europe préhistorique,"histoire des femmes,matriarcat,préhistoire",Marija Gimbutas,1974,Histoire,"Etats-Unis,Lituanie"
The Myth of Matriarchal Prehistory: Why An Invented Past Will Not Give Women a Future,"histoire des femmes,matriarcat,préhistoire",Cynthia Eller,2000,"Essai,Histoire",Etats-Unis
Faire famille autrement,"couple,famille.s,homoparentalité,monoparentalité,parentalité.s,parentalités queer",Gabrielle Richard,2022,Sociologie,"Canada,France,Québec"
Hilaria - Récits intimes pour un féminisme révolutionnaire,"anarchisme,anti-capitalisme,anticapitalisme,antipatriarcal,féminisme anarchiste,féminisme anti-carcéral,féminisme révolutionnaire",Irene,2022,"Essai,Histoire,Témoignages",Espagne
"On ne va pas y aller avec des fleurs - Violence politique : des femmes témoignent","politique,violence des femmes,violence politique","Alexandra Frénod,Caroline Guibet Lafaye",2022,"Enquête,Témoignages",France
S’émanciper par les armes ? Sur la violence politique des femmes,"politique,violence des femmes,violence politique","Alexandra Frénod,Caroline Guibet Lafaye",2019,Sciences sociales,France
"Fear of a Female Planet,un son punk,rap et féministe","activisme,militantisme,musique,punk,rap","Cara Zina,Karim Hammou",2021,Musique,France
Kate Millett - Pour une révolution queer et pacifiste,"LGBT,antimilitarisme,antiracisme,lutte pour les droits des femmes,queer",Marie-Hélène Dumas,2022,Biographie,Etats-Unis
Marie Curie et ses filles,"femmes prix Nobel,femmes scientifiques,sciences",Claudine Monteil,2021,Biographie,France
May la réfractaire - 85 ans d’anarchisme,"anarchisme,antimilitarisme,féminisme anarchiste,féminisme libertaire,pacifisme",May Picqueray,1979 - 2021,"Biographie,Essai",France
Comment devenir lesbienne en dix étapes,"LGBT,gouine,lesbianisme,lesbianisme politique,lesbienne",Louise Morel,2022,Guide,France
La force de la non-violence - Une obligation éthico-politique,"lutte,non-violence,politique",Judith Butler,2020,Philosophie,Etats-Unis
Téléréalité : la fabrique du sexisme,"culture mainstream,harcèlement,hypersexualisation,masculinité toxique,misogynie,sexisme,sexisme ordinaire,téléréalité",Valérie Rey Robert,2022,Essai,France
Libertarias - Femmes anarchistes espagnoles,"anarchisme,féminisme anarchiste,féminisme libertaire,lutte armée,luttes ouvrières",Hélène Finet,2021,Sciences sociales,Espagne
"Nos vies valent plus que leurs crédits - Face aux dettes,des réponses féministes","capitalisme patriarcal,dette,extractivisme,néo-libéralisme,patriarcat","Camille Bruneau,Christine Vanden Daelen",2022,"Economie,Finance",France
Wordslut: A Feminist Guide to Taking Back the English Language,"language,sexisme ordinaire",Amanda Montell,2019,Linguistique,Etats-Unis
Guide pour un musée féministe - Quelle place pour le féminisme dans les musées français ?,"art,création artistique,histoire de l'art,musée,représentations",musé·e·s,2022,Guide,France
"May Piqueray - Une réfractaire,une libertaire,une femme libre","anarchisme,féminisme anarchiste",Collectif,2005,Biographie,France
Sang honte - Le guide qui propose de nouvelles règles !,"choc toxique,cycles,menstruations,protections périodiques,précarité menstruelle,règles,sang menstruel,spm","Bettina Zourli,Laurie Rivière",2021,Guide,France
Childfree - Je ne veux pas d’enfant,"childfree,maternité.s,non désir d'enfant,parentalité.s",Bettina Zourli,2019,Essai,France
"Women,Migration and Gendered Experiences - The Case of Post-1991 Albanian Migration","Albanie,intersectionnalité,migrant.e.s,migrations,post-URSS,post-soviétique",Ermira Danaj,2022,"Sciences sociales,Sociologie",Albanie
Le Rire de la Méduse et autres ironies,"histoire,histoire des femmes,émancipation",Hélène Cixous,1975,Essai,France
Pompières et pyromanes - Lettre en état d'urgence,"activisme,crise écologique et climatique,lutte,urgence climatique,écoféminisme,écologie",Martine Delvaux,2022,Essai,"Canada,Québec"
"La parole sorcière. Littérature,magie,émancipation","sorcellerie,sorcières,émancipation",Eve Martin Jalbert,2022,Essai,"Canada,Québec"
Je n'en ai jamais parlé à persone,"#MeToo,agression sexuelle,harcèlement sexuel,sexisme ordinaire,violences sexuelles",Martine Delvaux,2017,Témoignages,"Canada,Québec"
Le boys club - Echos de #MeToo,"#MeToo,boys club",Martine Delvaux,2020,Essai,"Canada,Québec"
Le choix d’une vie sans enfant,"childfree,maternité.s,non désir d'enfant,parentalité.s",Charlotte Debest,2014,Sociologie,France
Le prix à payer - Ce que le couple hétéro coûte aux femmes,"couple,couple hétérosexuel,hétéronormativité,hétérosexualité,travail gratuit",Lucile Quillet,2021,Essai,France
Garde tes conseils,"accouchement,allaitement,grossesse,injonctions,maternité.s,parentalité.s,violences gynécologiques","Klowé,Ophélie Bourgeois",2020,Guide,France
Miroir miroir - Dis moi ce que je vaux vraiment,"couple,empouvoirement,empowerment,injonction à la beauté,injonction à la minceur,injonctions,stéréotypes",Louise Aubery,2022,"Essai,Guide",France
Annulé(e) - Réflexion sur la cancel culture,"cancel culture,réseaux sociaux",Judith Lussier,2021,Essai,"Canada,Québec"
Enceinte - Une histoire de la grossesse entre art et société,"art,enceinte,grossesse,histoire de l'art,tabou",Emmanuelle Berthiaud,2013,"Histoire,Histoire de l'art",France
"Feminism for women - the real route to liberation","activisme,backlash,droits des femmes,droits des minorités,inconscient patriarcal,lesbienne,militantisme,misogynie,patriarcat",Julie Bindel,2021,Essai,Etats-Unis
Invisible Women: Exposing Data Bias in a World Designed for Men,"big data,représentations,sciences,sexisme ordinaire",Caroline Criado Perez,2019,Sciences,Royaume-Uni
Les Grandes Oubliées : Pourquoi l'histoire a oublié les femmes,"histoire,histoire des femmes",Titiou Lecoq,2021,"Essai,Histoire",France
Je m'en bats le clito ! Et si on arrêtait de se taire ?,"corps,injonctions,patriarcat,règles,sexualité féminine,sexualité.s,tabou",Camille Aumont Carnel,2019,Guide,France
Un universalisme si particulier - Féminisme et exception française 1980 - 2010,"décolonisation,migrations,pensée décoloniale,politique,racisme institutionnel,universalisme,universalité,violences",Christine Delphy,2010,"Sciences politiques,Sciences sociales",France
The challenge of local feminisms: Women's movements in global perspective,"Afrique du Sud,Bangladesh,Brésil,Chili,Chine,Inde,Kenya,Mexique,Namibie,Nigeria,Philippines,Pérou,Russie,activisme,appropriation de l'espace public,lutte pour les droits des femmes","Amrita Basu,Elizabeth McGrory",1995,Sciences sociales,Etats-Unis
Les joies d’en bas - Tout sur le sexe féminin,"clitoris,contraception,règles,sexe,sexualité féminine,virginité","Ellen Støkken dahl,Nina Brochmann",2018,Médecine,Norvège
Material Girls: Why Reality Matters for Feminism,"féminisme critique du genre,gender critical feminism,identité.s de genre,sexe biologique",Kathleen Stock,2021,"Essai,Philosophie",Royaume-Uni
La normalisation gay,"LGBT,LGBTQIA+,gay studies,visibilité LGBT",Alain Naze,2017,Sciences sociales,France
Mâle-baisées - Le livre qui dénonce le patriarcat sous les draps,"consentement,patriarcat,pornographie,rapport de domination,sexualité féminine,sexualité.s,viol,virginité",Dora Moutot,2022,Essai,France
"Les Religions,le sexe et nous","bouddhisme,christianisme,désir,homosexualité,islam,judaïsme,polygamie,religion,sexe,sexualité.s,virginité",Aurélie Godefroy,2012,Essai,France
Afrofem,"afro-féminisme,femmes noires,racisme,racisme institutionnel,racisme structurel",Mwasi,2018,"Essai,Manifeste",France
Meuf,"charge mentale,injonctions,règles,sexisme,sexisme ordinaire,sexualité.s,violences sexuelles",Claire Suco,2021,Essai,France
"Garce,hystérique et autres joyeusetés. Les insultes sexistes et oppressives enfin décryptées !","oppressions,sexisme,sexisme ordinaire,violence oppressive","Alice Pfältzer,Laetitia Abad Estieu",2021,Essai,France
Les filles voilées parlent,"stigmatisation,violences,voile","Ismahane Chouder,Malika Latrèche,Pierre Tevanian",2008,Témoignages,France
"Se dire lesbienne - Vie de couple,sexualité,représentation de soi","LGBT,LGBTQIA+,couple,couple homosexuel,lesbianisme,lesbienne,représentations,sexualité.s,visibilité LGBT",Natacha Chetcuti,2010,"Essai,Témoignages",France
Un inceste ordinaire - Et pourtant tout le monde savait,"inceste,viol,violences,violences familiales,violences sexuelles",Léonore Le Caisne,2022,Ethnologie,France
Trans - When Ideology Meets Reality,"LGBT,LGBTQIA+,transidentité",Helen Joyce,2021,Gender studies,Irelande
Histoires de coming-out,"LGBT,LGBTQIA+,allié.e.s,éducation","Baptiste Beaulieu,Sophie Nanteuil",2021,Guide,France
Females,"LGBT,genre,transidentité",Andrea Long Chu,2019,Sciences sociales,Etats-Unis
Le voile médiatique - Un faux débat : “L’affaire du foulard islamique”,"islam,médias,racisme,racisme institutionnel,voile",Pierre Tevanian,2005,Sciences sociales,France
Le Livre noir de la condition des femmes,"condition des femmes,droits des femmes,lutte pour les droits des femmes",Christine Ockrent,2007,Sciences sociales,"France,Monde"
La vérité au bout des lèvres - Combattre les violences obstétriques et gynécologiques,"VOG,violences gynécologiques,violences obstétricales",Marine Gabriel,2021,Essai,France
Les vrais hommes sont féministes,"domination masculine,masculinité toxique,patriarcat",Isabelle Alonso,2021,Essai,France
Whipping girl - A transsexual woman on sexism and the scapegoating of feminity,"LGBT,LGBTQIA+,féminité,sexisme,transidentité",Julia Serano,2007,Sciences sociales,Etats-Unis
Avez-vous le sens de l'amour ?,"amour.s,couple,injonctions,polyamours,sexualité.s","Joseph Agostini,Meta Tshiteya",2020,Essai,France
Gender Hurts - A feminist analysis of the politics of transgenderism,"genre,lesbianisme,transidentité",Sheila Jeffreys,2014,"Biologie,Sciences sociales",Royaume-Uni
The Lesbian Revolution,"LGBT,activisme lesbien,lesbianisme,lesbienne",Sheila Jeffreys,2018,Sciences sociales,"Australie,Royaume-Uni"
Le sexe des Modernes - Pensée du neutre et théorie du genre,"droits des femmes,genre,sexe,théorie du genre",Eric Marty,2021,"Essai,Gender studies",France
The end of gender - Debunking the myths about sex and identity in our society,"genre,identité.s,sexe",Debra Soh,2020,Neurobiologie,Etats-Unis
La salope éthique : Guide pratique pour des relations libres et sereines,"consentement,couple,jalousie,polyamours,relation libre,relation non monogame,sexualité.s","Dossie Easton,Janet W. Hardy",1997,Guide,Etats-Unis
En finir avec le couple,"LGBT,LGBTQIA+,couple,couple hétérosexuel",Stéphane Rose,2020,Essai,France
When States Come Out - Europe’s sexual minorities and the Politics of Visibility,"LGBT,LGBTQIA+,coming out,politique,visibilité LGBT",Phillip M. Ayoub,2016,"Sciences politiques,Sociologie",Etats-Unis
Vagin tonic,"corps,sexe,sexualité féminine,sexualité.s",Lili Sohn,2018,Guide,France
Why Europe is Lesbian and Gay Friendly (and Why America Never Will Be),"LGBT,LGBTQIA+,homophobie,lesbian and gay friendly,queer studies",Angelia R. Wilson,2013,"Gay and lesbian studies,Queer studies,Sciences politiques,Sociologie",Royaume-Uni
Out in Africa: LGBT Organizing in Namibia and South Africa,"Afrique du Sud,LGBT,LGBTQIA+,Namibie,coming out,homosexualité,lutte,mouvements sociaux,visibilité LGBT",Ashley Currier,2012,"African studies,Gay and lesbian studies,Gender studies",Etats-Unis
Afropea - Utopie post-occidentale et post-raciste,"afropéenne,intersectionnalité,post-racisme,racisme",Leonora Miano,2020,Essai,France
Politicizing sex in contemporary Africa: homophobia in Malawi,"Afrique,LGBT,LGBTQIA+,Malawi,homophobie,homosexualité",Ashley Currier,2018,"Gay and lesbian studies,Sciences politiques,Sciences sociales",Etats-Unis
"Below the Belt: Sexuality,Religion and the American South","Etats-Unis,LGBT,avortement,religion,sexualité.s",Angelia R. Wilson,2000,"Enquête,Sciences sociales,Sociologie",Royaume-Uni
Histoires du MLF,"MLF,activisme,lutte pour les droits des femmes,militantisme","Anne Tristan,Annie De Pisan",1997,Histoire,France
Une révolution sexuelle - Réflexions sur l’après-Weinstein,"#MeToo,#balancetonporc,viol,violences sexuelles",Laure Murat,2018,Essai,France
La loi du genre : une histoire culturelle du troisième sexe,"féminité,genre,injonctions,virilité",Laure Murat,2006,"Essai,Sciences sociales",France
Epistémologie du placard,"LGBT,LGBTQIA+,homosexualité,hétéronormativité,hétérosexualité",Eve Kosofsky Sedgwick,2008,"Essai,Gay and lesbian studies,Philosophie",Etats-Unis
Sortir des placards de la République : Visages de l'homosexualité dans le monde politique français,"LGBT,LGBTQIA+,homophobie,homosexualité,hétéronormativité,politique",Jean-Yves Le Talec,2013,Sociologie,France
"Queer en Amérique : sexe,médias et placards du pouvoir","LGBT,LGBTQIA+,médias,pouvoir,queer,sexualité.s",Michelangelo Signorile,1993,"Médias,Queer studies",Etats-Unis
Manifeste Cyborg,"cyberféminisme,sciences,technologie",Donna Haraway,1984,"Gender studies,Philosophie,Sciences",Etats-Unis
Vivre avec le trouble,"anthropocentrisme,crise écologique et climatique,domination anthropocentrée,non-humains,écologie",Donna Haraway,2020,Essai,Etats-Unis
"La Barbe ! Cinq ans d’activisme féministe","activisme,appropriation de l'espace public,domination masculine,espace public,militantisme",La Barbe,2014,"Manifeste,Témoignages",France
"La volonté de changer - Les hommes,la masculinité et l’amour","amour.s,construction des masculinités,masculinité.s",bell hooks,2021,Essai,Etats-Unis
Bienvenue au wokistan,"domination masculine,domination sociale,injonctions,privilèges",Collectif,2022,"Essai,Guide",France
"Development,Sexual Rights and Global Governance","LGBT,LGBTQIA+,droits des minorités,gouvernance mondiale,queer",Amy Lind,2010,Relations Internationales,Etats-Unis
Riot Grrrl - Revolution girl style now,"féminisme révolutionnaire,luttes révolutionnaires,musique,punk",Mathilde Carton,2021,Musique,Etats-Unis
