Nom de la série,Tags,Artiste,Pays,Année
Atypical,"LGBT,LGBTQIA+,anti-validisme,handicap,homosexualité",Robia Rashid,Etats-Unis,2017-2021
Toi moi elle - You me her,"LGBT,amour.s,bisexualité,couple,polyamour,sexualité féminine,sexualité.s","John Scott Shepherd","Canada,Etats-Unis",2016-2020
Grace and Frankie,"LGBT,femmes âgées,sexualité.s,vieillesse,vieillir,âge,âgisme","Marta Kauffman,Howard J. Morris",Etats-Unis,2015-2022
Betty,"discriminations,racisme,sororité,violences sexuelles","Crystale Moselle",Etats-Unis,2020-2021
Big little lies,"emprise,famille monoparentale,masculinité toxique,viol,violences conjugales,violences sexuelles",David E. Kelley,Etats-Unis,2017-2019
"Fleabag","addiction,dépression,empowerment,female gaze,santé mentale,sexualité.s,suicide",Harry Bradbeer,Phœbe Weller-Bridge,Royaume-Uni,2016-2019
Pose,"LGBT,LGBTQIA+,queer","Ryan Murphy,Brad Falchuk,Steven Canals",Etats-Unis,2018-2021
Libres,"grossophobie,harcèlement sexuel,injonctions,règles,tabou,âgisme","Ovidie,Sophie-Marie Larrouy, ARTE",France,2021
I may destroy you,"culture du viol,viol,violences sexuelles",Micheala Coel,Royaume-Uni,2020
Killing Eve,"empowerment,female gaze,sexualité.s",Phœbe Weller-Bridge,"Etats-Unis,Royaume-Uni",2018-2022
The bold type,"cyberharcèlement,famille homoparentale,female gaze,harcèlement sexuel,masturbation,racisme,racisme ordinaire,sexisme ordinaire,sororité","Sarah Watson",Etats-Unis,2017-2021
"Hartley,coeurs à vif / Heartbreak High","LGBT,LGBTQIA+,anti-racisme,consentement,corps,désir,genre,handicap,homosexualité,masculinité toxique,queer,racisme,racisme ordinaire,sexisme,sexualité adolescente,sexualité.s,slut-shaming,traffic de drogue,viol","Hannah Carroll Chapman,Ben Gannon,Michael Jenkins",Australie,2022
Better things,famille monoparentale,"Pamela Adlon,Louis C.K.",Etats-Unis,2016-2022
P-Valley,"TDS,travailleur.euse.s du sexe",Katori Hall,Etats-Unis,2020-2022
Grand Army,"culture du viol,slut-shaming,viol,violences sexuelles",Katie Cappiello,Etats-Unis,2020
PEN15,"masturbation,puberté,règles,sexualité adolescente,tabou","Maya Erskine,Anna Konkle",Etats-Unis,2019-2021
Unorthodox,"empowerment,émancipation féminine",Anna Winger,Allemagne,2020
Dirty John,"emprise,violences",Alexandra Cunningham,Etats-Unis,2018-2022
I Love Dick,"désir,emprise,sexualité féminine,sexualité.s","Sarah Gubbins,Joey Soloway",Etats-Unis,2016-2017
Master of sexe,"couple,maternité,sexualité.s",Michelle Ashford,Etats-Unis,2013 - 2016
